user_id,city,trip_ct,is_winter,is_night,one_way,duration
975,OMA,4,0.0,0.0,1.0,23.75
976,OMA,3,0.0,0.0,0.3333333333333333,22.666666666666668
977,OMA,1,0.0,0.0,1.0,56.0
981,OMA,2,0.0,0.0,1.0,66.5
983,OMA,1,0.0,0.0,1.0,73.0
984,OMA,2,0.0,1.0,0.5,27.0
985,OMA,5,0.0,0.6,1.0,38.8
987,OMA,2,0.0,0.0,1.0,50.5
989,OMA,2,0.0,0.0,0.5,28.0
993,OMA,2,0.0,0.0,0.5,51.0
994,OMA,7,0.0,0.0,0.8571428571428571,56.714285714285715
997,OMA,12,0.0,0.0,0.5833333333333334,9.833333333333334
998,OMA,2,0.0,0.0,0.0,15.0
999,OMA,1,0.0,0.0,1.0,86.0
1016,OMA,2,0.0,0.0,0.5,62.0
1026,OMA,7,0.0,0.2857142857142857,0.2857142857142857,14.142857142857142
1056,OMA,1,1.0,0.0,0.0,23.0
1059,OMA,2,0.0,1.0,0.0,90.0
1061,OMA,1,0.0,1.0,0.0,95.0
1062,OMA,2,0.0,0.0,0.0,55.5
1064,OMA,1,1.0,0.0,0.0,10.0
1066,OMA,2,0.0,1.0,0.0,37.0
1069,OMA,2,0.0,0.0,0.0,55.0
1070,OMA,8,0.0,0.0,0.0,34.5
1072,OMA,10,0.0,0.0,0.0,28.0
1081,OMA,1,0.0,0.0,0.0,59.0
1082,OMA,2,0.0,0.0,0.0,20.5
1085,OMA,2,0.0,1.0,0.0,22.5
1088,OMA,2,0.0,0.0,0.5,58.5
1089,OMA,2,0.0,0.0,0.0,32.5
1091,OMA,2,0.0,0.0,0.0,50.5
1093,OMA,4,0.0,1.0,0.0,30.0
1095,OMA,6,0.0,0.0,0.0,26.333333333333332
1097,OMA,6,0.0,0.0,0.0,21.5
1099,OMA,21,0.0,0.5714285714285714,0.38095238095238093,37.61904761904762
1100,OMA,1,0.0,0.0,0.0,40.0
1101,OMA,1,0.0,1.0,0.0,40.0
1102,OMA,59,0.0,0.6271186440677966,0.5932203389830508,34.71186440677966
1103,OMA,4,0.0,0.0,0.0,31.25
1107,OMA,4,0.0,0.0,0.0,36.5
1113,OMA,4,0.75,0.0,0.75,44.5
1117,OMA,2,0.0,0.0,0.5,65.0
1118,OMA,2,0.0,0.0,0.0,68.5
1119,OMA,2,0.0,0.0,0.0,77.5
1121,OMA,8,0.0,0.0,0.25,18.25
1123,OMA,12,0.0,0.0,0.6666666666666666,51.916666666666664
1126,OMA,11,0.0,0.0,0.5454545454545454,45.18181818181818
